asset,statistic,n_actual,n_with_proxy,mean,median,min,max,q25,q75,is_sensitive,n_with_proxy_note,looco_C1_mean,looco_C1_delta,looco_C2_mean,looco_C2_delta,looco_C3_mean,looco_C3_delta,looco_C4_mean,looco_C4_delta
eth,D_asset_prev_bottom_to_halving,3,3,371.3333333333333,514.0,72.0,528.0,293.0,521.0,True,,,,521.0,149.66666666666669,300.0,-71.33333333333331,293.0,-78.33333333333331
eth,D_asset_halving_to_top,3,3,529.3333333333334,546.0,489.0,553.0,517.5,549.5,False,,,,517.5,-11.833333333333371,521.0,-8.333333333333371,549.5,20.16666666666663
eth,D_asset_top_to_next_bottom,3,3,288.0,307.0,222.0,335.0,264.5,321.0,False,,,,264.5,-23.5,321.0,33.0,278.5,-9.5
eth,mult_asset_bottom_to_top,3,3,83.23906667590644,57.07727019796557,4.386178124433158,188.2537517053206,30.731724161199363,122.66551095164309,True,,,,30.731724161199363,-52.50734251470708,96.31996491487689,13.080898238970448,122.66551095164309,39.42644427573664
eth,drawdown_asset_pct,3,3,0.8029505528266506,0.7935123166505245,0.6764367374404232,0.9389026043890041,0.7349745270454738,0.8662074605197643,False,,,,0.7349745270454738,-0.06797602578117679,0.8076696709147136,0.0047191180880630235,0.8662074605197643,0.06325690769311365
xrp,D_asset_prev_bottom_to_halving,2,2,294.0,294.0,60.0,528.0,177.0,411.0,False,n=2 < 3; LOOCO unavailable,,,,,,,,
xrp,D_asset_halving_to_top,2,2,398.0,398.0,338.0,458.0,368.0,428.0,False,n=2 < 3; LOOCO unavailable,,,,,,,,
xrp,D_asset_top_to_next_bottom,2,2,407.0,407.0,384.0,430.0,395.5,418.5,False,n=2 < 3; LOOCO unavailable,,,,,,,,
xrp,mult_asset_bottom_to_top,2,2,12.026486179424026,12.026486179424026,10.666975116913047,13.385997241935007,11.346730648168537,12.706241710679517,False,n=2 < 3; LOOCO unavailable,,,,,,,,
xrp,drawdown_asset_pct,2,2,0.7738431922887943,0.7738431922887943,0.7151961537534649,0.8324902308241238,0.7445196730211296,0.803166711556459,False,n=2 < 3; LOOCO unavailable,,,,,,,,
sol,D_asset_prev_bottom_to_halving,2,2,239.0,239.0,0.0,478.0,119.5,358.5,False,n=2 < 3; LOOCO unavailable,,,,,,,,
sol,D_asset_halving_to_top,2,2,408.5,408.5,273.0,544.0,340.75,476.25,False,n=2 < 3; LOOCO unavailable,,,,,,,,
sol,D_asset_top_to_next_bottom,2,2,461.0,461.0,418.0,504.0,439.5,482.5,False,n=2 < 3; LOOCO unavailable,,,,,,,,
sol,mult_asset_bottom_to_top,2,2,264.82348641320107,264.82348641320107,27.12823275862069,502.51874006778144,145.97585958591088,383.67111324049125,False,n=2 < 3; LOOCO unavailable,,,,,,,,
