cycle_id,asset,lag,cross_corr
C1,sol,-24,
C1,sol,-23,
C1,sol,-22,
C1,sol,-21,
C1,sol,-20,
C1,sol,-19,
C1,sol,-18,
C1,sol,-17,
C1,sol,-16,
C1,sol,-15,
C1,sol,-14,
C1,sol,-13,
C1,sol,-12,
C1,sol,-11,
C1,sol,-10,
C1,sol,-9,
C1,sol,-8,
C1,sol,-7,
C1,sol,-6,
C1,sol,-5,
C1,sol,-4,
C1,sol,-3,
C1,sol,-2,
C1,sol,-1,
C1,sol,0,
C1,sol,1,
C1,sol,2,
C1,sol,3,
C1,sol,4,
C1,sol,5,
C1,sol,6,
C1,sol,7,
C1,sol,8,
C1,sol,9,
C1,sol,10,
C1,sol,11,
C1,sol,12,
C1,sol,13,
C1,sol,14,
C1,sol,15,
C1,sol,16,
C1,sol,17,
C1,sol,18,
C1,sol,19,
C1,sol,20,
C1,sol,21,
C1,sol,22,
C1,sol,23,
C1,sol,24,
C1,sol,25,
C1,sol,26,
C1,sol,27,
C1,sol,28,
C1,sol,29,
C1,sol,30,
C1,sol,31,
C1,sol,32,
C1,sol,33,
C1,sol,34,
C1,sol,35,
C1,sol,36,
C1,sol,37,
C1,sol,38,
C1,sol,39,
C1,sol,40,
C1,sol,41,
C1,sol,42,
C1,sol,43,
C1,sol,44,
C1,sol,45,
C1,sol,46,
C1,sol,47,
C1,sol,48,
C1,sol,49,
C1,sol,50,
C1,sol,51,
C1,sol,52,
C1,sol,53,
C1,sol,54,
C1,sol,55,
C1,sol,56,
C1,sol,57,
C1,sol,58,
C1,sol,59,
C1,sol,60,
C1,mstr,-60,0.029672873039017025
C1,mstr,-59,0.019281700751348992
C1,mstr,-58,0.007561204229660837
C1,mstr,-57,0.006507515069577852
C1,mstr,-56,0.01030999486397706
C1,mstr,-55,0.017340083321820063
C1,mstr,-54,0.022024915405091904
C1,mstr,-53,0.018897251546068954
C1,mstr,-52,0.006351899749468913
C1,mstr,-51,0.0003529338112649811
C1,mstr,-50,-0.012447574429142277
C1,mstr,-49,-0.02307391843780896
C1,mstr,-48,-0.025303800681540135
C1,mstr,-47,-0.01978356295076284
C1,mstr,-46,-0.0068527513535000025
C1,mstr,-45,0.015807339714540937
C1,mstr,-44,0.04018200259303216
C1,mstr,-43,0.05031961883885764
C1,mstr,-42,0.0593085384782599
C1,mstr,-41,0.062073986551325726
C1,mstr,-40,0.057816441085069545
C1,mstr,-39,0.038611461247701075
C1,mstr,-38,0.014113043039312302
C1,mstr,-37,-0.007406194023133015
C1,mstr,-36,-0.008135958134321325
C1,mstr,-35,0.00011933360082399866
C1,mstr,-34,0.00848661847080793
C1,mstr,-33,0.01627177180122273
C1,mstr,-32,0.034133759277984434
C1,mstr,-31,0.05215811553236341
C1,mstr,-30,0.05860673437862178
C1,mstr,-29,0.06072213814770318
C1,mstr,-28,0.05387288265267521
C1,mstr,-27,0.034004924621020345
C1,mstr,-26,0.028278743039237768
C1,mstr,-25,0.029444877675337322
C1,mstr,-24,0.038772599729358495
C1,mstr,-23,0.058729527005503816
C1,mstr,-22,0.07120261244198477
C1,mstr,-21,0.07364197179780435
C1,mstr,-20,0.10956681998958302
C1,mstr,-19,0.12882800397748562
C1,mstr,-18,0.13169843690677244
C1,mstr,-17,0.12486203736153333
C1,mstr,-16,0.10651390626568104
C1,mstr,-15,0.10105800271194293
C1,mstr,-14,0.10640259075669502
C1,mstr,-13,0.0811324647336292
C1,mstr,-12,0.05254188336897676
C1,mstr,-11,0.037360111201357606
C1,mstr,-10,0.03320441111534288
C1,mstr,-9,0.026726282419527493
C1,mstr,-8,0.011646134792866131
C1,mstr,-7,-0.004667018898357329
C1,mstr,-6,-0.009570634108287934
C1,mstr,-5,-0.0028274748528546298
C1,mstr,-4,-0.004532368981039102
C1,mstr,-3,-0.015285237525076363
C1,mstr,-2,-0.007221937940842395
C1,mstr,-1,0.000764195012037635
C1,mstr,0,0.012726012850360383
C1,mstr,1,0.011619294587686731
C1,mstr,2,0.006153825390576413
C1,mstr,3,0.005592688894349025
C1,mstr,4,0.0012293512386124675
C1,mstr,5,-0.004296242191853602
C1,mstr,6,-0.009077073378656913
C1,mstr,7,-0.015486336056615776
C1,mstr,8,-0.006559017913869677
C1,mstr,9,0.009992403887503274
C1,mstr,10,0.01722927764091797
C1,mstr,11,0.041253882927876996
