statistic,n,mean,median,min,max,q25,q75,is_sensitive,looco_C1_mean,looco_C1_delta,looco_C2_mean,looco_C2_delta,looco_C3_mean,looco_C3_delta,looco_C4_mean,looco_C4_delta
D_prev_bottom_to_halving,4,487.75,514.5,380.0,542.0,479.75,522.5,False,523.6666666666666,35.91666666666663,469.6666666666667,-18.083333333333314,479.3333333333333,-8.416666666666686,478.3333333333333,-9.416666666666686
D_halving_to_top,4,494.0,529.5,371.0,546.0,486.5,537.0,False,535.0,41.0,483.6666666666667,-10.333333333333314,476.6666666666667,-17.333333333333314,480.6666666666667,-13.333333333333314
D_top_to_next_bottom,3,382.6666666666667,378.0,364.0,406.0,371.0,392.0,False,371.0,-11.666666666666686,392.0,9.333333333333314,385.0,2.3333333333333144,,
mult_bottom_to_top,4,167.08349875000002,66.924447,7.968822,526.516279,18.221946,215.78599975,True,47.272572,-119.81092675000002,185.37491833333334,18.291419583333322,215.56478033333337,48.481281583333356,220.12172433333333,53.038225583333315
drawdown_pct,3,0.816502,0.834293,0.766634,0.848579,0.8004635,0.841436,False,0.8004635,-0.016038499999999956,0.8076065,-0.008895499999999945,0.841436,0.02493400000000001,,
D_bottom_to_next_top,3,1058.6666666666667,1059.0,1050.0,1067.0,1054.5,1063.0,False,1054.5,-4.1666666666667425,1058.5,-0.16666666666674246,1063.0,4.3333333333332575,,
