macro_asset,regime,phase,asset,pearson,n_obs,full_pearson,sign_flip
tlt,high,P4,mstr,0.25671984136385073,772,0.4367507639368811,False
tlt,high,P4,wgmi,0.5933439461436121,39,0.6169828785057891,False
tlt,high,P4,spx,0.18416334372323334,772,0.2456115508612734,False
tlt,high,P4,ndx,0.19127689109721047,772,0.2598894362689709,False
tlt,high,P4,dxy,-0.10359937505767088,772,-0.0963003439321237,False
tlt,low,P1,eth,0.9460648269682772,185,0.8542734674129759,False
tlt,low,P1,xrp,0.6433007487823122,185,0.6817014805819962,False
tlt,low,P1,sol,0.8422186912931164,174,0.636829780974098,False
tlt,low,P1,mstr,0.5514683250782175,262,0.2522250684686185,False
tlt,low,P1,wgmi,0.4411798426751073,174,0.6006156304494523,False
tlt,low,P1,spx,-0.012661966700747679,262,0.1176874771995751,True
tlt,low,P1,ndx,-0.03435749492435922,262,0.1146810300155098,True
tlt,low,P1,dxy,0.14086301906848053,262,-0.0093841846868936,True
tlt,low,P2,eth,0.7584240226580559,171,0.7799739664228038,False
tlt,low,P2,xrp,0.1538308630530711,171,0.3250848019464633,False
tlt,low,P2,sol,0.4411421109194921,171,0.4764962766729491,False
tlt,low,P2,mstr,0.347728420243091,446,0.2699107574903633,False
tlt,low,P2,wgmi,0.659426729580415,59,0.6184738030521212,False
tlt,low,P2,spx,0.10569527967505668,446,0.0862736984921781,False
tlt,low,P2,ndx,0.09139705094525542,446,0.0208200378568857,False
tlt,low,P2,dxy,-0.07822003585305315,446,0.0208816066313058,True
tlt,low,P3,eth,0.6479292643752417,210,0.631664051272852,False
tlt,low,P3,xrp,0.43528299386179464,210,0.3926473950510787,False
tlt,low,P3,sol,0.2566752786476989,209,0.3812992624596245,False
tlt,low,P3,mstr,0.42634018512088007,281,0.2978556088079755,False
tlt,low,P3,wgmi,0.4588289969742215,111,0.4876299209499692,False
tlt,low,P3,spx,0.15333304233988793,281,0.1612284815853046,False
tlt,low,P3,ndx,0.11834405250149982,281,0.1572537913704862,False
tlt,low,P3,dxy,0.11172779886297396,281,0.0401226904583381,False
tlt,low,P4,eth,0.8678593501745526,844,0.8367867460937048,False
tlt,low,P4,xrp,0.6479779554509675,844,0.6609643419468376,False
tlt,low,P4,sol,0.7478327891112134,666,0.6967229891415566,False
tlt,low,P4,mstr,0.5889347101690773,921,0.4367507639368811,False
tlt,low,P4,wgmi,0.5859860491197847,623,0.6169828785057891,False
tlt,low,P4,spx,0.3833833369050247,921,0.2456115508612734,False
tlt,low,P4,ndx,0.35457956676560726,921,0.2598894362689709,False
tlt,low,P4,dxy,-0.11167404904893606,921,-0.0963003439321237,False
